INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
263891838,02/18/2023,23:41:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1021512,256053,40.869405,-73.865273,POINT (-73.865273 40.869405)
268204880,05/13/2023,14:05:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,<18,M,BLACK,65+,M,BLACK,1002332,231147,40.801105,-73.934685,POINT (-73.934685 40.801105)
269184588,06/01/2023,20:18:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1008787,243961,40.836258,-73.911326,POINT (-73.911326 40.836258)
270388044,06/25/2023,21:05:00,QUEENS,OUTSIDE,100,1,TRANSIT,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1035329,152802,,,
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,N,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
270656693,06/30/2023,19:00:00,BRONX,OUTSIDE,47,0,STREET,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,<18,F,BLACK,1021777,259779,40.87963,-73.864294,POINT (-73.864294 40.87963)
267811916,05/05/2023,20:31:00,MANHATTAN,OUTSIDE,25,0,PARKING LOT,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1005162,227657,40.791518,-73.924476,POINT (-73.924476 40.791518)
268532277,05/19/2023,07:25:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,65+,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,997317,184842,40.674017,-73.952893,POINT (-73.952893 40.674017)
270274905,06/22/2023,23:55:00,QUEENS,OUTSIDE,109,0,COMMERCIAL,(null),N,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1026123,220764,40.772526,-73.848822,POINT (-73.848822 40.772526)
268302281,05/15/2023,17:33:00,BRONX,OUTSIDE,43,0,STREET,MULTI DWELL - APT BUILD,Y,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1020517,242653,40.832627,-73.868942,POINT (-73.868942 40.832627)
262051188,01/17/2023,18:23:00,BRONX,OUTSIDE,49,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK HISPANIC,1024599,256713,40.871202,-73.854105,POINT (-73.854105 40.871202)
